№ п/п,Дата,Время начала,Время окон- чания,Тип занятий,Участвуют группы,Участвуют подгруппы,Дисциплина,Число сту- дентов,Поме- щение,Преподаватель
73,08.04.2022пятница,16.1,17.4,диф. зачет,ЗСУ-2911,,Искусственные сооружения на магистралях,7,120 (I),доц. Фазилова Зульфия Тельмановна
74,11.04.2022понедельник,9.0,10.3,диф. зачет,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,120 (I),доц. Федосова Анастасия Николаевна
75,11.04.2022понедельник,10.4,12.1,диф. зачет,ЗСУ-2911,,Методы решения научно-технических задач в строительстве,7,120 (I),доц. Федосова Анастасия Николаевна
76,12.04.2022вторник,12.2,13.05,консультация,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
77,12.04.2022вторник,13.1,13.5,защита к. пр.,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
78,12.04.2022вторник,14.3,16.0,защита к. пр.,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
79,13.04.2022среда,9.0,10.3,выд. зад.,ЗСУ-2911,,Научно-исследовательская работа,7,120 (I),проф. Сычев Вячеслав Петрович
80,13.04.2022среда,10.4,12.1,экзамен,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
81,13.04.2022среда,12.2,13.5,экзамен,ЗСУ-2911,,Современные перспективные конструкции железнодорожного пути,7,120 (I),доц. Фазилова Зульфия Тельмановна
82,13.04.2022среда,14.3,16.0,диф. зачет,ЗСУ-2911,,Практика по получению профессиональных умений и опыта профессиональной деятельности,7,120 (I),доц. Артемьева Вера Валентиновна
